olea_neutral_historico
año;mes;rentabilidad
2004;1;2.43
2004;2;1.50
2004;3;-2.42
2004;4;1.20
2004;5;-0.85
2004;6;1.20
2004;7;-1.50
2004;8;-0.77
2004;9;1.51
2004;10;1.71
2004;11;1.99
2004;12;2.77
2005;1;1.66
2005;2;2.80
2005;3;-0.66
2005;4;-2.52
2005;5;3.67
2005;6;2.69
2005;7;1.56
2005;8;0.08
2005;9;2.25
2005;10;-0.91
2005;11;3.55
2005;12;2.53
2006;1;2.35
2006;2;1.96
2006;3;2.11
2006;4;0.26
2006;5;-4.18
2006;6;0.81
2006;7;0.71
2006;8;2.15
2006;9;3.06
2006;10;3.69
2006;11;-0.17
2006;12;3.12
2007;1;1.80
2007;2;-1.03
2007;3;1.07
2007;4;0.96
2007;5;2.91
2007;6;-1.26
2007;7;-1.91
2007;8;0.40
2007;9;0.44
2007;10;3.61
2007;11;-2.84
2007;12;-0.44
2008;1;-4.24
2008;2;-0.34
2008;3;-1.62
2008;4;2.80
2008;5;1.52
2008;6;-4.18
2008;7;0.12
2008;8;2.53
2008;9;-9.47
2008;10;-5.01
2008;11;-1.23
2008;12;-0.13
2009;1;-2.42
2009;2;-4.93
2009;3;1.89
2009;4;7.72
2009;5;3.29
2009;6;2.12
2009;7;6.86
2009;8;4.18
2009;9;3.91
2009;10;-0.63
2009;11;0.28
2009;12;4.43
2010;1;-1.59
2010;2;-0.16
2010;3;4.32
2010;4;0.20
2010;5;-3.01
2010;6;-1.17
2010;7;3.03
2010;8;-0.47
2010;9;2.61
2010;10;2.35
2010;11;-1.49
2010;12;2.64
2011;1;0.53
2011;2;1.61
2011;3;-0.86
2011;4;0.73
2011;5;-0.83
2011;6;-1.14
2011;7;-1.86
2011;8;-9.32
2011;9;-6.50
2011;10;5.90
2011;11;-2.99
2011;12;1.55
2012;1;6.07
2012;2;2.84
2012;3;0.62
2012;4;-2.72
2012;5;-3.96
2012;6;1.08
2012;7;0.73
2012;8;2.11
2012;9;3.54
2012;10;1.16
2012;11;0.82
2012;12;2.46
2013;1;2.34
2013;2;0.31
2013;3;-0.03
2013;4;1.71
2013;5;1.00
2013;6;-3.66
2013;7;2.21
2013;8;0.27
2013;9;2.61
2013;10;3.18
2013;11;1.05
2013;12;0.06
2014;1;0.53
2014;2;2.12
2014;3;0.42
2014;4;0.32
2014;5;2.22
2014;6;1.07
2014;7;-0.16
2014;8;1.00
2014;9;0.26
2014;10;-0.42
2014;11;0.83
2014;12;-0.57
2015;1;3.58
2015;2;3.15
2015;3;0.96
2015;4;0.39
2015;5;0.59
2015;6;-2.02
2015;7;0.96
2015;8;-3.29
2015;9;-3.08
2015;10;3.87
2015;11;1.60
2015;12;-2.24
2016;1;-3.92
2016;2;-2.70
2016;3;2.40
2016;4;1.53
2016;5;0.38
2016;6;-0.63
2016;7;2.33
2016;8;1.68
2016;9;-0.37
2016;10;1.23
2016;11;1.00
2016;12;2.28
2017;1;0.09
2017;2;2.36
2017;3;0.76
2017;4;0.08
2017;5;0.18
2017;6;-0.42
2017;7;0.19
2017;8;-0.36
2017;9;1.59
2017;10;1.46
2017;11;-0.67
2017;12;-0.06
2018;1;0.84
2018;2;-1.11
2018;3;-1.72
2018;4;1.76
2018;5;0.25
2018;6;-1.24
2018;7;1.70
2018;8;-1.22
2018;9;0.30
2018;10;-2.10
2018;11;-0.91
2018;12;-3.69
2019;1;4.84
2019;2;1.59
2019;3;0.42
2019;4;1.79
2019;5;-2.45
2019;6;2.57
2019;7;0.97
2019;8;-1.27
2019;9;2.83
2019;10;1.63
2019;11;0.80
2019;12;1.01
2020;1;-0.35
2020;2;-2.98
2020;3;-8.63
2020;4;3.66
2020;5;1.07
2020;6;0.10
2020;7;-1.37
2020;8;-0.13
2020;9;-0.82
2020;10;-0.64
2020;11;5.44
2020;12;1.89
2021;1;-0.46
2021;2;1.57
2021;3;4.02
2021;4;0.40
2021;5;1.76
2021;6;0.65
2021;7;0.15
2021;8;1.61
2021;9;0.09
2021;10;1.32
2021;11;-1.32
2021;12;1.40
2022;1;-0.18
2022;2;-3.80
2022;3;0.52
2022;4;-0.24
2022;5;0.74
2022;6;-4.80
2022;7;3.40
2022;8;-0.99
2022;9;-4.63
2022;10;2.44
2022;11;3.34
2022;12;-2.58
2023;1;3.35
2023;2;0.13
2023;3;-1.11
2023;4;0.65
2023;5;0.85
2023;6;0.17
2023;7;1.82
2023;8;-0.35
2023;9;-0.58
2023;10;-0.68
2023;11;2.45
2023;12;1.41
2024;1;1.00
2024;2;0.07
2024;3;1.94
2024;4;-0.58
2024;5;1.61
2024;6;0.28
2024;7;1.79
2024;8;0.36
2024;9;0.97
2024;10;-0.60
2024;11;1.16
2024;12;-0.46
2025;1;1.81
2025;2;1.86
2025;3;-1.06
2025;4;0.26
2025;5;0.71
2025;6;0.00
2025;7;0.55
2025;8;0.75
2025;9;0.90
2025;10;0.91
2025;11;0.78
2025;12;-0.10
2026;1;0.70
2026;2;0.97
2026;3;-2.37
2026;4;1.70
